text	date	name
ger000467	1932	Rauch
ger000467	1932	Speer
ger000467	1932	Karoline
ger000467	1932	Kasimir
ger000467	1932	Schürzinger
ger000467	1932	Erna
ger000467	1932	Elli
ger000467	1932	Maria
ger000467	1932	Juanita
ger000692	1764	Philint
ger000692	1764	Arist
ger000692	1764	Serena
ger000692	1764	Adrast
ger000104	1900	Bäuerin
ger000104	1900	Tine
ger000104	1900	Bauer Ephraim
ger000104	1900	Viehhändler Blumig
ger000104	1900	Breite
ger000104	1900	Ernst
ger000104	1900	Joseph Schindler
ger000104	1900	Wirtin
ger000104	1900	Kretschmer
ger000104	1900	Huhndorf
ger000104	1900	Wirt
ger000104	1900	Franzel
